Lat,Lon,AGB
25.517,119.783,5.545
25.517,119.783,8.417
25.517,119.783,19.238
27.278,120.299,32.919
27.266,120.203,14.711
-19.95,-40.157,0.16
-19.95,-40.157,0.65
-19.95,-40.157,0.74
-19.95,-40.157,0.75
-19.95,-40.157,0.19
-19.95,-40.157,0.44
-20.183,34.75,84.0
11.489,79.765,1.2
11.489,79.765,1.35
11.489,79.765,4.85
11.489,79.765,6.7
11.489,79.765,5.5
11.489,79.765,14.65
11.49,79.778,44.6
11.49,79.778,30.15
11.49,79.778,103.85
11.49,79.778,75.25
11.49,79.778,101.5
11.49,79.778,222.75
11.49,79.778,34.05
11.49,79.778,46.35
11.49,79.778,211.7
11.49,79.778,350.5
11.49,79.778,224.6
13.814,121.448,229.99
13.813,121.452,285.4
22.519,114.024,87.14
9.89,106.675,218.0
9.89,106.675,263.0
9.89,106.675,202.0
9.89,106.675,85.0
9.89,106.675,164.0
9.89,106.675,146.0
9.89,106.675,320.0
9.89,106.675,262.0
9.89,106.675,166.0
9.89,106.675,283.0
9.89,106.675,278.59
9.89,106.675,149.89
9.89,106.675,76.15
4.798,100.647,557.8
4.798,100.647,387.8
4.798,100.647,302.4
4.798,100.647,289.0
4.798,100.647,244.4
4.798,100.647,301.8
4.798,100.647,257.4
4.798,100.647,143.9
4.798,100.647,359.1
-33.978,151.019,266.3
-34.017,151.162,213.62
8.29,79.84,85.0
8.3,79.84,57.0
8.23,79.83,240.0
8.18,79.74,193.0
8.19,79.78,172.0
8.27,79.78,71.0
-10.087,123.748,0.321
-10.087,123.748,0.054
-10.087,123.748,0.192
-10.087,123.748,0.132
-10.087,123.748,0.691
-10.087,123.748,0.152
-10.087,123.748,0.912
-10.087,123.748,5.675
-10.087,123.748,0.242
-10.087,123.748,0.246
-10.087,123.748,6.34
-10.087,123.748,5.025
16.315,120.01,13.58
16.202,119.988,18.21
16.32,120.002,38.45
16.371,119.964,43.29
11.719,122.39,51.43
11.719,122.391,101.8
16.243,119.93,115.62
10.201,124.166,132.18
10.088,124.119,147.6
15.494,119.923,150.66
9.543,138.092,493.0
9.556,138.178,280.0
9.514,138.148,410.6
9.553,138.01,561.0
9.588,138.127,869.6
7.353,134.539,268.2
7.383,134.511,158.6
7.58,134.632,358.0
22.519,114.024,314.6
22.519,114.024,327.0
22.519,114.024,141.2
22.519,114.024,152.4
22.519,114.024,59.6
22.519,114.024,64.6
4.838,100.617,576.0
4.851,100.612,352.0
4.86,100.616,106.0
22.519,114.024,50.4
22.519,114.024,206.3
22.519,114.024,194.5
22.519,114.024,118.7
22.721,113.765,51.178
22.721,113.765,0.506
22.721,113.765,7.861
24.393,117.903,93.37
19.883,110.617,248.495
21.467,109.717,196.212
21.467,109.717,92.336
21.467,109.717,75.175
21.467,109.717,62.757
21.467,109.717,29.772
21.467,109.717,17.011
22.519,114.024,45.6
26.183,127.667,64.9
26.183,127.667,111.6
26.183,127.667,208.2
25.135,121.459,81.7
23.934,120.314,152.4
23.934,120.314,61.4
23.119,120.089,104.3
22.502,114.031,129.6
22.502,114.031,132.8
22.502,114.031,168.8
22.502,114.031,122.6
22.502,114.031,166.5
22.502,114.031,142.4
22.502,114.031,72.0
22.502,114.031,123.9
22.502,114.031,160.4
22.502,114.031,253.7
22.502,114.031,97.6
22.502,114.031,100.0
22.502,114.031,95.8
22.502,114.031,128.2
22.502,114.031,105.2
22.502,114.031,94.4
-8.394,114.627,334.0
-8.396,114.629,244.0
-8.394,114.632,565.0
-8.392,114.627,146.0
-8.394,114.631,152.0
-8.394,114.629,49.0
26.183,127.667,80.5
-7.66,109.03,93.726
4.833,100.583,174.0
4.833,100.6,216.4
25.487,-80.343,22.28
25.472,-80.345,56.02
6.213,102.179,277.0
22.519,114.024,68.33
12.2,102.5,169.9
12.2,102.5,259.2
12.2,102.5,227.0
21.688,88.338,68.6
21.688,88.338,76.7
21.688,88.338,78.8
21.688,88.338,68.5
21.636,88.33,72.1
21.636,88.33,98.1
21.716,88.296,65.3
21.716,88.296,90.2
21.868,88.643,131.9
21.868,88.643,171.8
21.68,88.635,109.1
19.167,-69.632,124.0
19.167,-69.635,175.0
19.168,-69.638,145.0
19.168,-69.64,158.0
19.17,-69.649,176.0
19.17,-69.651,202.0
19.171,-69.652,212.0
19.171,-69.654,216.0
19.171,-69.655,222.0
19.171,-69.656,269.0
19.172,-69.658,322.0
19.172,-69.66,284.0
19.172,-69.661,188.0
19.173,-69.663,75.0
19.128,-69.64,207.0
19.128,-69.642,304.0
19.128,-69.644,252.0
19.127,-69.646,283.0
19.126,-69.649,215.0
19.126,-69.65,270.0
19.126,-69.652,322.0
19.125,-69.653,384.0
19.125,-69.655,341.0
20.953,110.176,39.3
21.003,110.198,59.6
20.979,110.178,76.4
20.909,110.177,82.1
11.766,75.478,171.95
11.767,75.486,176.02
11.763,75.515,238.47
-32.875,151.75,21.8
-33.5,151.5,21.7
12.183,102.567,2.0
12.183,102.567,2.6
12.183,102.567,6.0
12.183,102.567,25.2
13.057,100.094,154.6
13.058,100.09,35.1
8.825,105.192,78.3
8.834,105.244,90.0
8.832,105.216,325.6
