Source,Study_ID,Publication_status,ISO3,Country_Territory,Longitude_decimal_degrees,Latitude_decimal_degrees,Biogeographic_region,Coastal_typology,Mean_diameter_cm,Mean_canopy_heigth_m,Stand_basal_area_m2.ha,Stand_density_stems.ha,Aboveground_biomass_Mg.ha,Number_of_species_in_plot,Notes
"Coelho-Jr 1998, 2003",1045_8,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,4.4,4.8,12.5,20400,32.34,2,
"Coelho-Jr 1998, 2003",1045_9,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,5,4.9,12.9,17200,34.07,2,
Colpo et al. 2011,1046_1,Published,BRA,Brazil,-46.151944,-23.81861111,Atlantic East Pacific,IV Lagoon,10,7.8,24.99,3181,105.02,NA,
Colpo et al. 2011,1046_2,Published,BRA,Brazil,-45.968889,-23.775,Atlantic East Pacific,IV Lagoon,8.63,7.96,17.04,2914,73.11,NA,
Colpo et al. 2011,1046_3,Published,BRA,Brazil,-45.895,-23.75361111,Atlantic East Pacific,IV Lagoon,6.86,9.96,10.82,2926,58.12,NA,
Colpo et al. 2011,1046_4,Published,BRA,Brazil,-45.165278,-23.48944444,Atlantic East Pacific,IV Lagoon,10.39,10.59,57.05,6725,325.51,NA,
Colpo et al. 2011,1046_5,Published,BRA,Brazil,-45.052778,-23.41583333,Atlantic East Pacific,IV Lagoon,6.08,10.19,31.19,10748,171.27,NA,
Colpo et al. 2011,1046_6,Published,BRA,Brazil,-45.013056,-23.40731111,Atlantic East Pacific,IV Lagoon,6.08,4.94,6.65,2291,17.7,NA,
Colpo et al. 2011,1046_7,Published,BRA,Brazil,-44.883889,-23.33833333,Atlantic East Pacific,IV Lagoon,6.67,11.79,21.46,6147,136.37,NA,
Comelli et al. 1994,1047,Published,BRA,Brazil,-46.410556,-23.91305556,Atlantic East Pacific,IV Lagoon,28.68,4.49,11.3,175,27.35,3,
Conacher et al. 1996,1217_1,Published,AUS,Australia,141.961176,-12.728755,Indo West Pacific,III Tidal system,NA,17.5,NA,1200,NA,NA,
Conacher et al. 1996,1217_2,Published,AUS,Australia,141.961176,-12.728755,Indo West Pacific,III Tidal system,NA,17,NA,500,NA,NA,
Conacher et al. 1996,1217_3,Published,AUS,Australia,141.961176,-12.728755,Indo West Pacific,III Tidal system,NA,11,NA,3700,NA,NA,
Conacher et al. 1996,1217_4,Published,AUS,Australia,141.961176,-12.728755,Indo West Pacific,III Tidal system,NA,6,NA,500,NA,NA,
