Source,Study_ID,Publication_status,ISO3,Country_Territory,Longitude_decimal_degrees,Latitude_decimal_degrees,Biogeographic_region,Coastal_typology,Mean_diameter_cm,Mean_canopy_heigth_m,Stand_basal_area_m2.ha,Stand_density_stems.ha,Aboveground_biomass_Mg.ha,Number_of_species_in_plot,Notes
"Coelho-Jr 1998, 2003",1045_2,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,3.8,5.2,21.5,28600,60.26,2,
"Coelho-Jr 1998, 2003",1045_20,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,8.2,8.9,39,12298,187.09,3,
"Coelho-Jr 1998, 2003",1045_21,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,6,7.9,17.8,11440,75.79,2,
"Coelho-Jr 1998, 2003",1045_22,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,5.8,8.2,19,13156,83.98,3,
"Coelho-Jr 1998, 2003",1045_23,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,9.1,9.4,45.2,12155,229.01,3,
"Coelho-Jr 1998, 2003",1045_24,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,7,8.6,24.4,11726,113.1,2,
"Coelho-Jr 1998, 2003",1045_25,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,6.8,7.9,20,11583,85.16,3,
"Coelho-Jr 1998, 2003",1045_26,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,8.7,7,20.3,8580,76.59,2,
"Coelho-Jr 1998, 2003",1045_27,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,6.4,5.8,16.8,12012,52.52,2,
"Coelho-Jr 1998, 2003",1045_28,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,4.8,6,18.4,15444,59.51,2,
"Coelho-Jr 1998, 2003",1045_29,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,7.6,4.6,8,9999,19.84,2,
"Coelho-Jr 1998, 2003",1045_3,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,3.4,5.1,13.2,24600,36.29,2,
"Coelho-Jr 1998, 2003",1045_30,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,5.5,3.5,7.5,13800,14.15,2,
"Coelho-Jr 1998, 2003",1045_31,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,3.7,2.9,11.1,25200,17.35,2,
"Coelho-Jr 1998, 2003",1045_32,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,4.1,2.9,9,25200,14.07,2,
"Coelho-Jr 1998, 2003",1045_33,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,5,3.6,18.3,17453,35.51,2,
"Coelho-Jr 1998, 2003",1045_34,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,5.1,4.4,15.8,21400,37.47,2,
"Coelho-Jr 1998, 2003",1045_35,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,4,4.4,17.4,19200,41.27,2,
"Coelho-Jr 1998, 2003",1045_36,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,3.8,3.4,13.8,25200,25.29,2,
"Coelho-Jr 1998, 2003",1045_37,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,4,3.1,9.9,25000,16.54,2,
"Coelho-Jr 1998, 2003",1045_38,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,5.3,2.9,9.3,19000,14.54,1,
"Coelho-Jr 1998, 2003",1045_39,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,8.6,4.8,17.6,14400,45.53,2,
"Coelho-Jr 1998, 2003",1045_4,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,4,4.9,14.3,22400,37.77,2,
"Coelho-Jr 1998, 2003",1045_40,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,10.5,8.3,20.12,7293,90.01,3,
"Coelho-Jr 1998, 2003",1045_41,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,11,9.7,27.43,9009,143.41,3,
"Coelho-Jr 1998, 2003",1045_42,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,8.6,8.6,21.33,8723,98.87,2,
"Coelho-Jr 1998, 2003",1045_43,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,6,6.9,13.04,10010,48.5,3,
"Coelho-Jr 1998, 2003",1045_44,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,5.2,7.4,17.24,13442,68.76,3,
"Coelho-Jr 1998, 2003",1045_45,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,14.4,7.9,17.96,4862,76.48,3,
"Coelho-Jr 1998, 2003",1045_46,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,7,7.9,18.07,10153,76.94,3,
"Coelho-Jr 1998, 2003",1045_47,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,7.6,6.8,14.75,9009,54.06,3,
"Coelho-Jr 1998, 2003",1045_48,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,7.2,6.5,15.29,9724,53.57,2,
"Coelho-Jr 1998, 2003",1045_49,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,9.8,7,18.5,7150,69.8,2,
"Coelho-Jr 1998, 2003",1045_5,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,3,4.6,14.3,31600,35.46,2,
"Coelho-Jr 1998, 2003",1045_50,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,10,7.2,20.85,7436,80.91,2,
"Coelho-Jr 1998, 2003",1045_51,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,9.2,7.4,13.3,6435,53.05,3,
"Coelho-Jr 1998, 2003",1045_52,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,10.6,8,14.96,6149,64.51,3,
"Coelho-Jr 1998, 2003",1045_53,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,8,7.8,30.09,11869,126.5,3,
"Coelho-Jr 1998, 2003",1045_54,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,10.8,8.1,28.62,8437,124.95,3,
"Coelho-Jr 1998, 2003",1045_55,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,11.1,6.8,20.25,6721,74.22,2,
"Coelho-Jr 1998, 2003",1045_56,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,7.2,5.2,12.8,11011,35.88,3,
"Coelho-Jr 1998, 2003",1045_57,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,5.1,4.5,13.05,12584,31.65,3,
"Coelho-Jr 1998, 2003",1045_58,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,4,4.2,7.7,9022,17.43,2,
"Coelho-Jr 1998, 2003",1045_6,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,3.9,5.2,14.9,22400,41.76,2,
"Coelho-Jr 1998, 2003",1045_7,Published,BRA,Brazil,-47.945653,-25.06292222,Atlantic East Pacific,IV Lagoon,5.1,4.8,17.2,18400,44.5,2,
