Lat,Lon,Height
24.656,54.673,\
25.191,55.327,\
25.435,55.478,\
25.533,55.593,\
25.562,55.605,\
25.773,55.947,\
25.898,56.04,\
25.017,56.356,\
25.017,56.356,\
25.017,56.356,\
25.01,56.36,\
24.201,53.802,\
24.203,53.801,\
24.204,53.8,\
24.213,53.799,\
24.507,54.526,\
24.484,54.534,\
24.486,54.54,\
21.808,89.183,\
21.808,89.183,\
10.483,106.943,\
10.437,106.932,\
10.44,106.855,\
10.532,106.929,\
10.503,106.822,\
10.521,106.898,\
8.647,105.116,\
8.649,105.111,\
8.638,105.078,\
8.65,105.116,\
8.644,105.097,\
8.641,105.088,\
8.653,105.121,\
8.473,105.074,\
8.645,105.105,\
18.606,-92.684,\
18.652,-92.458,\
18.648,-92.475,\
18.594,-92.468,\
18.492,-93.429,\
18.567,-92.432,\
18.595,-92.448,\
-25.917,32.638,1.35
-18.836,36.276,6.26
-18.836,36.276,7.45
-18.836,36.276,9.49
-18.836,36.276,11.74
-18.836,36.276,12.59
13.428,-87.611,\
13.367,-87.471,\
13.114,-87.184,\
13.368,-87.476,\
15.874,-87.641,\
15.785,-87.596,\
15.891,-87.633,\
15.822,-87.578,\
15.822,-87.595,\
16.404,-86.399,\
16.401,-86.399,\
16.418,-85.944,\
16.455,-85.863,\
16.089,-86.889,\
16.119,-86.902,\
16.098,-86.909,\
16.093,-86.914,\
16.11,-86.942,\
7.352,134.539,\
7.352,134.539,\
7.352,134.539,\
9.588,138.128,\
9.588,138.128,\
9.588,138.128,\
16.3,120.456,1.34
16.215,120.248,1.72
16.353,120.346,2.94
16.372,120.2,5.56
16.25,119.894,7.84
19.95,110.583,5.87
19.95,110.583,6.7
19.95,110.583,2.21
25.517,119.783,\
25.517,119.783,\
25.517,119.783,\
27.278,120.299,1.71
27.266,120.203,1.8
-19.95,-40.157,3.3
-19.95,-40.157,4.4
-19.95,-40.157,7.7
-19.95,-40.157,6.5
-19.95,-40.157,5
-19.95,-40.157,6.3
-20.183,34.75,4.8
11.489,79.765,0.41
11.489,79.765,0.57
11.489,79.765,0.87
11.489,79.765,2.46
11.489,79.765,3.55
11.489,79.765,3.54
11.49,79.778,4.46
11.49,79.778,4.15
11.49,79.778,5.72
11.49,79.778,5.45
11.49,79.778,3
11.49,79.778,5.66
11.49,79.778,6.26
11.49,79.778,4.68
11.49,79.778,8.75
11.49,79.778,8.12
11.49,79.778,6.17
13.814,121.448,\
13.813,121.452,\
22.519,114.024,3.9
9.89,106.675,13.22
9.89,106.675,9.77
9.89,106.675,8.88
9.89,106.675,8.35
9.89,106.675,10.02
9.89,106.675,9.86
9.89,106.675,11.56
9.89,106.675,12.4
9.89,106.675,9.77
9.89,106.675,7.92
9.89,106.675,8.29
9.89,106.675,7.99
9.89,106.675,8.05
4.798,100.647,33
4.798,100.647,30
4.798,100.647,31
4.798,100.647,29
4.798,100.647,24
4.798,100.647,26
4.798,100.647,27
4.798,100.647,24
4.798,100.647,30
-33.978,151.019,\
-34.017,151.162,\
8.29,79.84,4.4
8.3,79.84,4.5
8.23,79.83,7.2
8.18,79.74,10.3
8.19,79.78,4.3
8.27,79.78,3.9
-10.087,123.748,3.67
-10.087,123.748,6
-10.087,123.748,5
-10.087,123.748,4.5
-10.087,123.748,4.25
-10.087,123.748,5.4
-10.087,123.748,5.34
-10.087,123.748,11.27
-10.087,123.748,4.22
-10.087,123.748,5.71
-10.087,123.748,6.74
-10.087,123.748,9.43
16.315,120.01,2
16.202,119.988,3
16.32,120.002,4
16.371,119.964,5
11.719,122.39,7
11.719,122.391,9
16.243,119.93,10.53
10.201,124.166,11
10.088,124.119,11.1
15.494,119.923,11.1
9.543,138.092,16
9.556,138.178,7
9.514,138.148,9
9.553,138.01,10
9.588,138.127,19
7.353,134.539,11
7.383,134.511,12
7.58,134.632,20
22.519,114.024,6.15
22.519,114.024,6.4
22.519,114.024,5.5
22.519,114.024,5.75
22.519,114.024,5.85
22.519,114.024,6.1
4.838,100.617,\
4.851,100.612,\
4.86,100.616,\
22.519,114.024,5.8
22.519,114.024,8.5
22.519,114.024,10.2
22.519,114.024,10.9
22.721,113.765,5.58
22.721,113.765,0.552
22.721,113.765,1.099
24.393,117.903,5
19.883,110.617,14
21.467,109.717,6
21.467,109.717,3.58
21.467,109.717,4.13
21.467,109.717,2.75
21.467,109.717,1.18
21.467,109.717,1.67
22.519,114.024,7.69
26.183,127.667,3.2
26.183,127.667,4.2
