Country,AGB_Change,AGB_Change_Grow,AGB_Change_HT,AGB_Change_RES,AGB_Change_SLR
East Timor,0.03829934853307486,0.013530736061399231,0.025671665026285026,0.0032155570897086493,-0.004118609644318041
Japan,0.04020263697641478,0.018916524933598775,0.02342124430883649,0.0017438828709761967,-0.0038790151369966757
Cote d'Ivoire,0.04677740534704795,0.1221160554825595,-0.03767758871917165,0.013538090054154928,-0.05119915147049482
"Iran, Islamic Rep",0.07230209977593076,-0.004835349707283124,0.011771984773335499,0.0661720058248203,-0.0008065411149419091
"Micronesia, Fed States",0.12442420285363416,0.16716696311760013,-0.009951922712120875,0.013104365170194589,-0.0458952027220397
Liberia,0.14758019309015585,0.3176661745383112,-0.020124752824707003,0.020664076229930106,-0.17062530485337837
"Congo, Dem Rep",0.1600282577192108,0.7301532813490698,-0.2443318368567091,0.010365539696433234,-0.33615872646958306
Peru,0.2069750724586763,0.12323625265884809,0.03685291489643082,0.060670181033912966,-0.013784276130515515
China,0.32868095506054984,0.1427983153996735,0.032971797747495354,0.15813903168309806,-0.005228189769717163
Trinidad and Tobago,0.3709880593915774,0.25096016337330657,0.13271451090626557,0.0340380153861788,-0.046724630274173666
New Zealand,0.48795754528969,0.1291022898199817,0.335793467037652,0.03516199720613669,-0.012100208774080422
Equatorial Guinea,0.7682496361231332,0.8081050191045249,0.015925094737651475,0.006596025141558871,-0.06237650286060235
Nicaragua,0.7746604133532847,1.3568559793935024,2.582149999766047,0.14006883147603227,-3.3044143972822972
Angola,0.8170826377204342,0.850713285764898,-0.4192940302679717,0.04194608300903578,0.34371729921447214
Guatemala,0.8813800219636344,0.911539157406422,0.01354575010789685,0.07209847757737425,-0.11580336312805839
Venezuela,0.9964443570962374,9.41327237767734,-9.1294731168741,0.615093851798147,0.09755124449485225
Gambia,1.0216767357671652,0.39232327755461494,0.5963157554354546,0.05569180206182636,-0.02265409928473043
Guyana,1.0885403236204687,0.9517299068218569,-1.2863058189016987,0.2898697598202919,1.133246475880019
United States,1.116749336910509,3.6750101677472315,-3.308545476367424,0.2529931294537086,0.4972915160769936
El Salvador,1.389790937379812,1.091459802795912,0.3964582254190018,0.04032330589593093,-0.1384503967310324
Kenya,1.4459112400560608,1.026958097963361,0.4809253318530472,0.0890777193057526,-0.15104990906609994
Pakistan,2.1417880411433607,0.10581385805115173,1.2275728271016253,0.8987418602363946,-0.09034050424581078
Panama,2.6121914209394568,4.635434124972689,-1.7149828524248976,0.41424806226363714,-0.7225079138719713
Ecuador,2.748704924282931,3.334709462221707,-1.2554953708700496,0.5985445046287569,0.0709463283025168
Senegal,3.088655932500429,-0.07991918241532467,3.5212733408672863,0.11194044721238769,-0.46463867316392066
Costa Rica,3.318680304690168,0.8132815400413244,0.8421491378872464,0.16917957173887013,1.494070055022727
"Tanzania, United Rep",3.4381243750060078,1.750654685800987,1.3011205583996555,0.2264417543856979,0.15990737641966837
French Guiana,4.91599001627286,2.4397009659511744,1.2705543686782086,0.7627257098825707,0.44300897176090714
Philippines,5.342380353748828,4.485222989489245,3.0408084696501456,1.1607322734663597,-3.3443833788569237
Sierra Leone,7.007905235333109,2.171560637565564,5.5989445717677855,0.46612146564473306,-1.2287214396449737
Cameroon,7.3165167816339745,3.8380968094824124,3.6226195714347313,0.08997944765993016,-0.2341790469430989
Thailand,7.773080220097768,4.323624373015114,4.396471231859765,0.6276274697938486,-1.5746428545709574
Viet Nam,8.563043482422282,3.1092983848106965,4.640580416184022,0.9768272500697169,-0.16366256864215248
Malaysia,9.103556463861423,8.7425959469212,2.306003038919217,1.1281400957400785,-3.073182617719073
Suriname,9.585869388515862,3.2683856500579616,2.439700416611861,0.8256308546849113,3.0521524671611293
India,9.882019017956694,2.654072845532654,8.253499769957013,1.196431729711506,-2.2219853272444796
Guinea-Bissau,9.967169291593196,1.2893149239660862,8.127777408483674,0.5816449417576074,-0.03156798261416793
Madagascar,10.346542420110174,2.485520427702936,6.329330719438554,0.4263834370904273,1.105307835878256
Gabon,10.79685816856518,7.478441483261562,3.265060799633325,0.1303107772226746,-0.07695489155238026
Papua New Guinea,11.124334659234323,11.576158623961215,4.337308613755288,1.3853757398714854,-6.174508318353661
Guinea,11.445151698611165,4.187901008476388,6.45824954909241,0.7990011410423666,0.0
Bangladesh,22.123560957966397,6.1988393883484605,14.832016076382258,1.0997312575873515,-0.007025764351671918
Australia,23.436200119277085,10.820513864328134,2.81235476617989,2.403672093034,7.399659395735055
Myanmar,23.545370148277264,7.461492276184996,13.552404099854678,3.0611251286831407,-0.5296513564455482
Nigeria,46.28885166902238,15.253863945911306,40.25931709847026,1.027566023396429,-10.251895398755618
Indonesia,46.44023066160456,65.08622647173408,-13.04725927681822,13.255171093887675,-18.853907627198975
Brazil,55.363051920385956,27.328232946995218,20.428820488820655,5.278404630750506,2.3275938538195926
