Lat,Lon,Height
22.437,89.585,3
22.441,89.549,18
22.441,89.549,18
22.429,89.591,14
22.429,89.591,14
22.437,89.585,3
21.518,88.03,5
21.518,88.03,5
21.518,88.03,5
22.31,88.677,3
22.31,88.677,3
22.31,88.677,3
-4.419,39.511,9
10.144,124.156,18
10.144,124.156,18
10.144,124.156,18
10.144,124.156,18
5.867,102.508,35
3.333,101.233,15
3.667,100.967,6
-0.505,117.559,24
-0.515,117.501,23
-0.733,117.531,28
-0.732,117.573,9
-0.351,117.503,16
-0.351,117.52,15
-0.389,117.533,17
-0.808,117.508,12
-0.813,117.525,19
-0.764,117.615,8
27.581,-82.564,10
27.846,-82.601,9
27.628,-82.715,8
27.599,-82.551,9
27.743,-82.468,10
27.743,-82.688,10
4.11,-77.251,32
3.836,-77.258,24
3.842,-77.206,32
-8.511,125.769,18
3.028,101.327,21
2.944,101.379,11
3.026,101.264,18
21.574,109.752,5
21.566,109.755,8
21.549,109.766,8
21.538,109.774,5
28.709,-80.738,2
-7.683,108.917,12
-7.683,108.917,12
25.907,-81.669,10
25.932,-81.673,10
25.932,-81.673,10
25.932,-81.673,10
4.933,115.233,18
-4.419,39.511,9
-4.419,39.511,9
-4.419,39.511,9
-4.419,39.511,9
15.181,-92.786,21
15.205,-92.811,17
15.228,-92.837,11
15.226,-92.871,21
15.222,-92.881,16
15.246,-92.918,20
15.211,-92.861,14
1.896,-78.489,40
9.365,98.408,16
9.365,98.406,18
9.366,98.406,16
9.369,98.4,16
9.372,98.4,14
9.371,98.399,16
9.368,98.405,17
9.369,98.405,17
9.369,98.405,17
9.369,98.402,19
9.368,98.401,16
9.371,98.401,15
9.373,98.4,15
9.377,98.4,14
9.367,98.405,15
9.366,98.407,17
9.365,98.406,18
9.37,98.4,14
9.371,98.407,20
9.371,98.405,15
9.374,98.405,14
9.373,98.403,15
9.374,98.403,11
9.374,98.4,12
9.368,98.401,16
9.372,98.402,15
9.373,98.402,15
9.375,98.404,15
9.371,98.404,15
9.371,98.402,15
9.367,98.408,16
9.37,98.407,16
9.365,98.399,17
9.363,98.405,17
9.364,98.402,16
9.363,98.406,16
9.367,98.4,16
9.366,98.402,15
9.366,98.404,16
9.365,98.403,15
10.28,99.163,12
10.278,99.163,13
10.373,99.22,13
10.373,99.222,10
-6.087,106.72,9
-6.07,106.738,35
-6.101,106.748,12
-6.104,106.76,8
-5.939,106.99,9
7.668,81.666,2
7.628,81.725,5
19.487,-87.7,5
19.696,-87.466,7
19.648,-87.454,11
19.78,-87.479,10
19.861,-87.461,7
19.841,-87.48,7
19.822,-87.495,5
19.95,106.002,8
19.95,106.001,9
19.952,106,9
19.953,105.999,11
19.957,106.001,9
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
20.417,86.742,12
19.884,-71.642,5
19.882,-71.647,4
19.876,-71.651,5
19.693,-71.712,10
19.691,-71.716,12
19.708,-71.723,10
19.724,-71.725,14
19.701,-71.72,14
19.701,-71.709,16
-5.475,119.315,11
-5.477,119.306,4
-5.327,119.364,7
1.589,124.839,15
1.589,124.839,15
-5.46,119.289,9
1.589,124.839,15
1.589,124.839,15
1.589,124.839,15
1.411,103.988,20
24.632,53.052,0
24.628,53.054,0
24.281,53.314,13
24.45,54.41,5
24.453,54.441,3
24.503,54.533,0
24.519,54.47,7
24.656,54.673,5
25.191,55.327,4
25.435,55.478,5
25.533,55.593,0
25.562,55.605,3
25.773,55.947,5
25.898,56.04,10
25.017,56.356,7
25.017,56.356,7
25.017,56.356,7
25.01,56.36,6
24.201,53.802,0
24.203,53.801,0
24.204,53.8,0
24.213,53.799,0
24.507,54.526,0
24.484,54.534,0
24.486,54.54,0
21.808,89.183,3
21.808,89.183,3
10.483,106.943,10
10.437,106.932,9
10.44,106.855,12
10.532,106.929,12
10.503,106.822,15
10.521,106.898,11
8.647,105.116,5
8.649,105.111,8
8.638,105.078,9
8.65,105.116,8
8.644,105.097,15
8.641,105.088,14
8.653,105.121,6
8.473,105.074,15
8.645,105.105,15
18.606,-92.684,11
18.652,-92.458,10
18.648,-92.475,12
18.594,-92.468,15
18.492,-93.429,16
18.567,-92.432,14
18.595,-92.448,10
-25.917,32.638,6
-18.836,36.276,18
-18.836,36.276,18
-18.836,36.276,18
-18.836,36.276,18
-18.836,36.276,18
13.428,-87.611,25
13.367,-87.471,9
13.114,-87.184,19
13.368,-87.476,13
15.874,-87.641,18
15.785,-87.596,15
15.891,-87.633,13
15.822,-87.578,20
15.822,-87.595,17
16.404,-86.399,11
16.401,-86.399,13
16.418,-85.944,10
16.455,-85.863,10
16.089,-86.889,7
16.119,-86.902,7
16.098,-86.909,6
16.093,-86.914,5
16.11,-86.942,11
