Lat,Lon,Height
9.588,138.128,0
9.588,138.128,0
9.588,138.128,0
16.3,120.456,4
16.215,120.248,0
16.353,120.346,0
16.372,120.2,6
16.25,119.894,3
19.95,110.583,3
19.95,110.583,3
19.95,110.583,3
25.517,119.783,0
25.517,119.783,0
25.517,119.783,0
27.278,120.299,0
27.266,120.203,0
-19.95,-40.157,0
-19.95,-40.157,0
-19.95,-40.157,0
-19.95,-40.157,0
-19.95,-40.157,0
-19.95,-40.157,0
-20.183,34.75,4
11.489,79.765,0
11.489,79.765,0
11.489,79.765,0
11.489,79.765,0
11.489,79.765,0
11.489,79.765,0
11.49,79.778,0
11.49,79.778,0
11.49,79.778,0
11.49,79.778,0
11.49,79.778,0
11.49,79.778,0
11.49,79.778,0
11.49,79.778,0
11.49,79.778,0
11.49,79.778,0
11.49,79.778,0
13.814,121.448,3
13.813,121.452,5
22.519,114.024,10
9.89,106.675,6
9.89,106.675,6
9.89,106.675,6
9.89,106.675,6
9.89,106.675,6
9.89,106.675,6
9.89,106.675,6
9.89,106.675,6
9.89,106.675,6
9.89,106.675,6
9.89,106.675,6
9.89,106.675,6
9.89,106.675,6
4.798,100.647,15
4.798,100.647,15
4.798,100.647,15
4.798,100.647,15
4.798,100.647,15
4.798,100.647,15
4.798,100.647,15
4.798,100.647,15
4.798,100.647,15
-33.978,151.019,0
-34.017,151.162,2
8.29,79.84,9
8.3,79.84,5
8.23,79.83,10
8.18,79.74,4
8.19,79.78,19
8.27,79.78,2
-10.087,123.748,2
-10.087,123.748,2
-10.087,123.748,2
-10.087,123.748,2
-10.087,123.748,2
-10.087,123.748,2
-10.087,123.748,2
-10.087,123.748,2
-10.087,123.748,2
-10.087,123.748,2
-10.087,123.748,2
-10.087,123.748,2
16.315,120.01,5
16.202,119.988,5
16.32,120.002,5
16.371,119.964,0
11.719,122.39,5
11.719,122.391,10
16.243,119.93,0
10.201,124.166,2
10.088,124.119,6
15.494,119.923,2
9.543,138.092,0
9.556,138.178,0
