FID,CLSFID,ID_Country,ORIG_FID,Lat,Lon
11134,10927,10927 Australia,11134,-16.953330993100000,122.574295043999996
11135,10933,10933 Australia,11135,-17.237741730700002,123.608131607999994
11136,10935,10935 Australia,11136,-16.404233932899999,124.229843138999996
11137,11456,11456 Australia,11137,-15.324333676000000,124.599400768999999
11138,10919,10919 Australia,11138,-22.444574349900002,114.367015844999997
11139,10920,10920 Australia,11139,-22.418021442000001,114.116257688999994
11140,10921,10921 Australia,11140,-21.264726480699998,115.743645161000003
11141,10922,10922 Australia,11141,-23.037242552900000,113.816951396999997
11142,10923,10923 Australia,11142,-23.291688499700001,113.776273494999998
11143,10924,10924 Australia,11143,-25.215068450499999,113.821851656999996
11144,10928,10928 Australia,11144,-27.305013104299999,113.994991009000003
11145,10929,10929 Australia,11145,-27.980306425100000,114.124471522999997
11146,10930,10930 Australia,11146,-28.464029591100001,114.483660826000005
11147,10931,10931 Australia,11147,-28.749987030700002,114.594007042000001
11148,10932,10932 Australia,11148,-29.112115042599999,114.842338874000006
11149,10934,10934 Australia,11149,-29.935334752199999,114.937949234000001
11150,11161,11161 Australia,11150,-25.809748543600001,113.084871183999994
11151,10946,10946 Australia,11151,-33.971553153899997,114.970819891999994
11152,10936,10936 Australia,11152,-30.710320723799999,115.138400904999997
11153,10937,10937 Australia,11153,-31.365328230500001,115.491728359999996
11154,10938,10938 Australia,11154,-31.729039168900002,115.708667000999995
11155,10939,10939 Australia,11155,-31.916411756100000,115.743700098000005
11156,10940,10940 Australia,11156,-32.125189927299999,115.743184235000001
11157,10941,10941 Australia,11157,-32.731331044500003,115.666662994000006
11158,10943,10943 Australia,11158,-33.303814840000001,115.687148549000000
11159,10944,10944 Australia,11159,-33.343313207700000,115.641082775000001
11160,10945,10945 Australia,11160,-33.503612064199999,115.511665233000002
11161,10947,10947 Australia,11161,-34.545340975400002,115.741176491999994
11162,10948,10948 Australia,11162,-34.816879262699999,115.972515118000004
11163,10949,10949 Australia,11163,-35.030617287399998,116.778603098000005
11164,10952,10952 Australia,11164,-34.681630014299998,118.632089011000005
11165,10955,10955 Australia,11165,-33.962301107000002,119.873251334000003
11166,10958,10958 Australia,11166,-33.880554191100003,121.861648568000007
11167,10960,10960 Australia,11167,-33.852705520999997,123.638311496000000
11168,10962,10962 Australia,11168,-33.010807223699999,124.245489296000002
11169,10964,10964 Australia,11169,-32.551895807400001,125.501427143000001
11170,10966,10966 Australia,11170,-32.163774612300003,127.650107028999997
11171,10968,10968 Australia,11171,-31.675481021900001,129.110091304999997
11172,10950,10950 Australia,11172,-35.079684103699996,117.810139692999996
11173,10951,10951 Australia,11173,-35.021483904000000,117.896170685000001
11174,11092,11092 Australia,11174,-28.304734235700000,153.589012142000001
11175,11093,11093 Australia,11175,-28.962025686099999,153.508858929000013
11176,11094,11094 Australia,11176,-30.036541286300000,153.228532333000004
11177,11095,11095 Australia,11177,-30.927525702800001,153.068787331999999
11178,11096,11096 Australia,11178,-31.665450155399999,152.845070389000000
11179,11097,11097 Australia,11179,-32.175057232599997,152.521648389000006
11180,11098,11098 Australia,11180,-32.549913217700002,152.331048068000001
11181,11099,11099 Australia,11181,-32.889437753000003,151.811592131999987
11182,11100,11100 Australia,11182,-32.812335783000002,151.999125426999996
11183,11101,11101 Australia,11183,-33.028856491299997,151.701486243000005
11184,11102,11102 Australia,11184,-33.393547059699998,151.486816403999995
11185,11103,11103 Australia,11185,-33.684892590200000,151.331176064999994
11186,11104,11104 Australia,11186,-33.916975327899998,151.290393007999995
11187,11105,11105 Australia,11187,-34.286573279000002,150.969212247999991
11188,11106,11106 Australia,11188,-35.871357101699999,150.200599305999987
11189,11058,11058 Australia,11189,-37.649433470699996,149.708356769999995
11190,11107,11107 Australia,11190,-37.409148097799999,149.951793202000005
11191,10969,10969 Australia,11191,-31.534574021499999,131.340600921999993
11192,10982,10982 Australia,11192,-32.541809078000000,133.852874759000002
11193,10985,10985 Australia,11193,-33.595832820500000,134.848159793000008
11194,10988,10988 Australia,11194,-34.305465868299997,135.352598228000005
11195,10989,10989 Australia,11195,-34.781320954100003,135.503051437000011
