Lat,Lon,Dataset
-0.51505,117.5011,Rovai et al. only
-0.51505,117.5011,Rovai et al. only
-0.5054,117.5586,Rovai et al. only
-0.35083,117.5198,Rovai et al. only
-0.35053,117.5024,Rovai et al. only
27.87876111,-110.5548,Rovai et al. only
-4.81478,136.79311,Rovai et al. only
-4.79839,136.6967,Rovai et al. only
-4.80147,136.68529,Rovai et al. only
-4.81986,136.68511,Rovai et al. only
-4.84117,136.88266,Rovai et al. only
-4.81006,136.81305,Rovai et al. only
-4.71532,136.77134,Rovai et al. only
-4.89496,136.80896,Rovai et al. only
-4.77349,136.82757,Rovai et al. only
-4.70809,136.83691,Rovai et al. only
-4.6956,136.83344,Rovai et al. only
-4.74908,136.8431,Rovai et al. only
-4.74227,136.7641,Rovai et al. only
-4.72848,136.7807,Rovai et al. only
-4.83634,136.74677,Rovai et al. only
-4.86853,136.91269,Rovai et al. only
-4.83495,136.74799,Rovai et al. only
-4.53456,136.45995,Rovai et al. only
-4.53512,136.41305,Rovai et al. only
-4.66101,136.43311,Rovai et al. only
-4.66973,136.42106,Rovai et al. only
-4.68591,136.41703,Rovai et al. only
-4.74771,136.84824,Rovai et al. only
-4.69371,136.4051,Rovai et al. only
-4.72049,136.43571,Rovai et al. only
-4.73361,136.45714,Rovai et al. only
-4.72101,136.45617,Rovai et al. only
-4.86837,136.82629,Rovai et al. only
-4.85992,136.73077,Rovai et al. only
-4.84341,136.75636,Rovai et al. only
-4.83911,136.75456,Rovai et al. only
-4.91223,136.83226,Rovai et al. only
-4.81441,136.74605,Rovai et al. only
-4.75451,136.84963,Rovai et al. only
-4.76936,136.73569,Rovai et al. only
-4.89043,136.8111,Rovai et al. only
-4.75308,136.84615,Rovai et al. only
-4.8677,136.73888,Rovai et al. only
-4.83941,136.69193,Rovai et al. only
-4.70961,136.74916,Rovai et al. only
-4.8106,136.71394,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
25.70527222,-80.164319,Rovai et al. only
-26.036686,32.915181,Rovai et al. only
-26.001316,32.94963,Rovai et al. only
-13.320456,40.559766,Rovai et al. only
-13.034691,40.469692,Rovai et al. only
-12.386915,40.545694,Rovai et al. only
-11.594168,40.434238,Rovai et al. only
-11.415649,40.443373,Rovai et al. only
-10.346399,40.417531,Rovai et al. only
-10.362323,40.365887,Rovai et al. only
21.624296,88.32504,Rovai et al. only
22.066543,88.88371,Rovai et al. only
18.57713333,-91.924931,Rovai et al. only
18.52792778,-91.973806,Rovai et al. only
18.57553056,-92.123442,Rovai et al. only
18.54103056,-92.191789,Rovai et al. only
22.24656,-97.813373,Rovai et al. only
-0.71046389,-47.696197,Rovai et al. only
-22.191792,43.303287,Rovai et al. only
-21.6,-41.05,Rovai et al. only
-21.6,-41.05,Rovai et al. only
-21.6,-41.05,Rovai et al. only
-21.6,-41.05,Rovai et al. only
-21.28333333,-40.966667,Rovai et al. only
-21.28333333,-40.966667,Rovai et al. only
-21.28333333,-40.966667,Rovai et al. only
-21.28333333,-40.966667,Rovai et al. only
-21.28333333,-40.966667,Rovai et al. only
-21.28333333,-40.966667,Rovai et al. only
-21.28333333,-40.966667,Rovai et al. only
-21.28333333,-40.966667,Rovai et al. only
-21.28333333,-40.966667,Rovai et al. only
-21.28333333,-40.966667,Rovai et al. only
-21.28333333,-40.966667,Rovai et al. only
-21.28333333,-40.966667,Rovai et al. only
-21.28333333,-40.966667,Rovai et al. only
-21.6,-41.033333,Rovai et al. only
-21.6,-41.033333,Rovai et al. only
-21.6,-41.033333,Rovai et al. only
-21.6,-41.033333,Rovai et al. only
-21.6,-41.033333,Rovai et al. only
-21.6,-41.033333,Rovai et al. only
-21.6,-41.033333,Rovai et al. only
-21.6,-41.033333,Rovai et al. only
-21.6,-41.033333,Rovai et al. only
-21.60091667,-41.037519,Rovai et al. only
-21.60091667,-41.037519,Rovai et al. only
-21.60091667,-41.037519,Rovai et al. only
-21.6,-41.033333,Rovai et al. only
-21.6,-41.033333,Rovai et al. only
-21.6,-41.033333,Rovai et al. only
-21.6,-41.033333,Rovai et al. only
-21.6,-41.033333,Rovai et al. only
20.388275,86.731199,Rovai et al. only
20.475326,86.734534,Rovai et al. only
8.89140278,-83.600778,Rovai et al. only
8.89140278,-83.600778,Rovai et al. only
8.89140278,-83.600778,Rovai et al. only
8.89140278,-83.600778,Rovai et al. only
8.095,-76.739722,Rovai et al. only
8.095,-76.739722,Rovai et al. only
8.095,-76.739722,Rovai et al. only
17.43738,-87.838322,Rovai et al. only
17.43738,-87.838322,Rovai et al. only
17.43738,-87.838322,Rovai et al. only
17.43738,-87.838322,Rovai et al. only
17.43738,-87.838322,Rovai et al. only
-26.036074,32.914679,Rovai et al. only
-4.414226,39.526721,Rovai et al. only
-8.41028056,-34.983622,Rovai et al. only
-8.41028056,-34.983622,Rovai et al. only
-8.41028056,-34.983622,Rovai et al. only
-8.41028056,-34.983622,Rovai et al. only
-8.41028056,-34.983622,Rovai et al. only
-8.41028056,-34.983622,Rovai et al. only
8.0362,98.9534,Rovai et al. only
8.0584,98.9446,Rovai et al. only
7.3727,99.5722,Rovai et al. only
7.3727,99.5724,Rovai et al. only
7.3726,99.5724,Rovai et al. only
7.373,99.5732,Rovai et al. only
7.3709,99.5763,Rovai et al. only
7.3712,99.5761,Rovai et al. only
7.3714,99.576,Rovai et al. only
7.3716,99.5759,Rovai et al. only
7.3734,99.5793,Rovai et al. only
7.3736,99.5791,Rovai et al. only
8.0693,98.9494,Rovai et al. only
7.3737,99.5788,Rovai et al. only
7.3738,99.5786,Rovai et al. only
7.3739,99.5785,Rovai et al. only
7.3743,99.5851,Rovai et al. only
7.3742,99.5852,Rovai et al. only
7.3741,99.5854,Rovai et al. only
7.3738,99.5862,Rovai et al. only
7.3783,99.5906,Rovai et al. only
7.3784,99.591,Rovai et al. only
7.3786,99.5913,Rovai et al. only
8.0695,98.9493,Rovai et al. only
7.3787,99.5917,Rovai et al. only
7.3822,99.5861,Rovai et al. only
7.3816,99.5869,Rovai et al. only
7.3818,99.5867,Rovai et al. only
7.3818,99.5864,Rovai et al. only
7.3821,99.5864,Rovai et al. only
7.3822,99.5862,Rovai et al. only
7.381,99.5934,Rovai et al. only
7.3812,99.5926,Rovai et al. only
7.3812,99.5929,Rovai et al. only
8.0697,98.9492,Rovai et al. only
7.3811,99.5931,Rovai et al. only
7.3809,99.5932,Rovai et al. only
7.3811,99.5935,Rovai et al. only
7.368791,99.593877,Rovai et al. only
7.368791,99.593877,Rovai et al. only
7.368791,99.593877,Rovai et al. only
7.368791,99.593877,Rovai et al. only
7.368791,99.593877,Rovai et al. only
7.368791,99.593877,Rovai et al. only
7.3741,99.5736,Rovai et al. only
8.0699,98.949,Rovai et al. only
7.3743,99.5738,Rovai et al. only
7.3744,99.574,Rovai et al. only
8.07,98.949,Rovai et al. only
8.041,98.945,Rovai et al. only
8.0409,98.9448,Rovai et al. only
8.0408,98.9446,Rovai et al. only
8.0408,98.9444,Rovai et al. only
8.0361,98.9537,Rovai et al. only
8.0406,98.9441,Rovai et al. only
8.0436,98.9514,Rovai et al. only
8.0438,98.9513,Rovai et al. only
8.0439,98.9511,Rovai et al. only
8.0439,98.9509,Rovai et al. only
8.044,98.9507,Rovai et al. only
8.0576,98.949,Rovai et al. only
8.0577,98.9491,Rovai et al. only
8.0578,98.9492,Rovai et al. only
8.0581,98.9494,Rovai et al. only
