Tavg,Tmin,Pavg,Pmin,Srad,VPD,PET,Cyclone,Runoff,TidalRange,Dist2Coast,Salinity,SeaTemp,DEM,Slope,Pop,Height
22.895834,11.2,1648.0,25.0,16432,0.6087623,856.5301,2.86,381.1677856445313,2.53,-51.9553986,32.117501898729905,25.55284459330425,5,0.5459018349647522,259.46362,2.43
27.583334,22.4,1814.0,2.0,17499,0.80939364,2096.702,0.42,719.8737182617188,1.05320963488844,99.1626968,32.38001966818015,28.69542908398576,1,0.4632169902324676,58.84917,15.1
23.070833,12.9,753.0,14.0,17171,0.70629907,1453.0142,0.08,0.0,1.7919628859755,367.5629883,35.27941511283785,25.20818362781721,6,0.154408648610115,8441.219,1.35
22.5375,11.1,1264.0,40.0,17595,0.7489507,1113.382,0.92,186.64669799804688,0.0,179.802002,35.95951715704756,25.6443585290916,4,0.4882723987102508,2.214223,3
26.15,21.6,1991.0,64.0,17175,0.50969976,1325.8638,0.0,842.1348876953125,0.551454157977258,-1496.5100098,32.19246249180688,29.455819652347305,37,0.6366184949874878,224.82578,19
28.233334,24.1,1875.0,104.0,17167,0.78908014,1939.8911,0.0,499.034912109375,1.58548388898586,-309.2460022,32.03890542812664,29.32653996764577,10,2.422825813293457,29.819933,6
27.020834,21.2,1820.0,46.0,18070,0.7412894,1413.7781,0.34,637.5902099609375,1.15297119460501,380.2969971,31.789173619020357,29.553661807270537,8,1.0356943607330322,160.44156,7
26.804167,14.7,1537.0,7.0,18378,1.0778424,1202.1724,2.42,296.0495910644531,1.61946025530447,-366.4079895,30.40103433130923,28.096408684136254,64,7.712043762207031,276.6357,3
22.7,11.0,1964.0,36.0,13843,0.6868251,899.2965,2.44,761.181884765625,0.0,-278.5190125,32.14374679103725,25.023123931153595,-5,0.5459018349647522,2188.4458,3.7
26.933332,22.4,2317.0,7.0,17326,0.5885676,1221.1127,0.44,1180.6629638671875,2.75587652233914,4141.7099609,32.24959806078191,28.58532278720445,4,0.5567121505737305,132.77043,0
27.283333,22.7,1766.0,50.0,17826,0.75413084,1325.8638,0.0,842.1348876953125,0.552871797604007,-400.0580139,32.9968966832307,28.817924192311537,5,1.2446894645690918,9522.863,8
27.504168,22.9,1398.0,1.0,17824,0.7875786,2008.7943,0.6,719.8737182617188,2.39553296084391,1324.0799561,31.11168471272892,28.620833830039853,4,0.4367262125015259,287.87137,7.92
26.9875,21.1,3290.0,23.0,18462,0.6802139,1870.6986,0.3,750.3220825195312,2.13519705882353,46.286499,31.695132965777017,29.657142792847477,14,0.976473867893219,54.631836,18
26.858334,22.7,2290.0,7.0,17553,0.5643201,1995.0734,0.46,1180.6629638671875,2.31564930136277,1356.6400146,30.07867584766652,28.90207690372394,1,0.4367262125015259,108.14497,1
27.508333,14.1,65.0,0.0,20450,1.7395849,580.9311,0.0,0.0,0.951305882352941,345.2000122,37.701038530267,27.85900499092069,3,0.6990818977355957,14.781059,0
26.720833,14.1,1536.0,5.0,17641,0.9539973,1820.1626,2.44,750.168701171875,3.24021668966707,-8975.5097656,22.03924828903637,27.64078497930952,4,0.4882723987102508,450.51987,0
26.2375,18.9,1259.0,34.0,18478,0.71417004,1370.0197,0.9,6.613067150115967,0.177122873900293,452.3850098,36.00946533482708,28.109406302492097,1,0.4367262125015259,0.027209176,1
18.283333,7.3,1098.0,54.0,17220,0.6461808,802.23975,0.02,162.4635009765625,1.28600882352941,531.3010254,35.57520669171624,21.749599771960916,3,0.5567121505737305,0.3231322,4.4
26.341667,20.8,1194.0,15.0,16888,0.75098777,2154.4854,0.0,237.2115020751953,2.50025294117647,159.6640015,34.592257888023795,27.56772292861192,6,0.6905047297477722,79.035675,8.37
27.683332,21.4,1274.0,2.0,18197,1.10521,1925.6089,0.0,288.1747131347656,2.61634117647059,510.5859985,35.63842663551408,28.080803170753068,14,2.547238826751709,19.507074,4
